# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,ENET_CLK,Location,PIN_D27,Yes
,CLK_28,Location,PIN_E16,Yes
,CLK_50,Location,PIN_AD15,Yes
,CLK_50_2,Location,PIN_D16,Yes
,CLK_50_3,Location,PIN_R28,Yes
,CLK_50_4,Location,PIN_R3,Yes
,AUD_ADCDAT,Location,PIN_E19,Yes
,AUD_ADCLRCK,Location,PIN_F19,Yes
,AUD_BCLK,Location,PIN_E17,Yes
,AUD_DACDAT,Location,PIN_F18,Yes
,AUD_DACLRCK,Location,PIN_G18,Yes
,AUD_XCK,Location,PIN_D17,Yes
,DRAM_DQ[0],Location,PIN_AC1,Yes
,DRAM_DQ[1],Location,PIN_AC2,Yes
,DRAM_DQ[10],Location,PIN_AF2,Yes
,DRAM_DQ[11],Location,PIN_AF3,Yes
,DRAM_DQ[12],Location,PIN_AG2,Yes
,DRAM_DQ[13],Location,PIN_AG3,Yes
,DRAM_DQ[14],Location,PIN_AH1,Yes
,DRAM_DQ[15],Location,PIN_AH2,Yes
,DRAM_DQ[16],Location,PIN_U1,Yes
,DRAM_DQ[17],Location,PIN_U2,Yes
,DRAM_DQ[18],Location,PIN_U3,Yes
,DRAM_DQ[19],Location,PIN_V2,Yes
,DRAM_DQ[2],Location,PIN_AC3,Yes
,DRAM_DQ[20],Location,PIN_V3,Yes
,DRAM_DQ[21],Location,PIN_W1,Yes
,DRAM_DQ[22],Location,PIN_W2,Yes
,DRAM_DQ[23],Location,PIN_W3,Yes
,DRAM_DQ[24],Location,PIN_Y1,Yes
,DRAM_DQ[25],Location,PIN_Y2,Yes
,DRAM_DQ[26],Location,PIN_Y3,Yes
,DRAM_DQ[27],Location,PIN_AA1,Yes
,DRAM_DQ[28],Location,PIN_AA2,Yes
,DRAM_DQ[29],Location,PIN_AA3,Yes
,DRAM_DQ[3],Location,PIN_AD1,Yes
,DRAM_DQ[30],Location,PIN_AB1,Yes
,DRAM_DQ[31],Location,PIN_AB2,Yes
,DRAM_DQ[4],Location,PIN_AD2,Yes
,DRAM_DQ[5],Location,PIN_AD3,Yes
,DRAM_DQ[6],Location,PIN_AE1,Yes
,DRAM_DQ[7],Location,PIN_AE2,Yes
,DRAM_DQ[8],Location,PIN_AE3,Yes
,DRAM_DQ[9],Location,PIN_AF1,Yes
,DRAM0_A[0],Location,PIN_AA4,Yes
,DRAM0_A[1],Location,PIN_AA5,Yes
,DRAM0_A[10],Location,PIN_Y8,Yes
